"equipo","ataque","defensa"
"Arsenal",0.58768368492354,0.111469860058072
"Aston Villa",0.0434923173984297,0.0808115481649465
"Bournemouth",-0.253565417314598,-0.341479758067329
"Brentford",0.172454215164735,0.0741214410807662
"Brighton",0.396085168197321,-0.0821328728534109
"Chelsea",-0.249925952586703,0.0711090168227466
"Crystal Palace",-0.197697364152725,0.0276485143895574
"Everton",-0.352347078409512,-0.117804911247915
"Fulham",0.126148176981336,-0.0651282146812718
"Leeds",0.0142963056773232,-0.446304982482397
"Leicester",0.0649873797592855,-0.310897350356161
"Liverpool",0.431235232849618,0.0352597187993387
"Man City",0.643879205438527,0.371244643649813
"Man United",0.169636274362585,0.141247517276661
"Newcastle",0.319213468585981,0.396788739012173
"Nottingham",-0.230185591030521,-0.299031836569415
"Southampton",-0.280115117590856,-0.36806762714857
"Tottenham",0.37788011868009,-0.253766215052743
"West Ham",-0.142054527425532,-0.0902019188067024
"Wolves",-0.443748188685479,-0.132237622881392
